"descricao_trabalho","total"
"Não especificado","1653845"
"Empregado doméstico, diarista, cozinheiro (em domicílios particulares)","52427"
"Faxineiro, auxiliar de limpeza (empresa pública ou privada)","30527"
"Auxiliar de escritório, escriturário","37992"
"Secretária, recepcionista","19693"
"Operador de Telemarketing","4597"
"Comerciante (dono do bar, da loja etc.)","33838"
"Balconista, vendedor de loja","38822"
"Vendedor a domicílio, representante de vendas, vendedor de catálogo (Avon, Natura etc.)","23710"
"Vendedor ambulante (feirante, camelô, comerciante de rua, quiosque)","14585"
"Cozinheiro e garçom (de restaurantes, empresas)","17220"
"Padeiro, açougueiro e doceiro","10453"
"Agricultor, criador de animais, pescador, silvicultor e jardineiro","107097"
"Auxiliar da agropecuária (colhedor de frutas, boia fria, etc.)","27303"
"Motorista (de aplicativo, de taxi, de van, de mototáxi, de ônibus)","23160"
"Motorista de caminhão (caminhoneiro)","18716"
"Motoboy","2744"
"Entregador de mercadorias (de restaurante, farmácia, loja, Uber Eats, IFood, Rappy etc.)","7096"
"Pedreiro, servente de pedreiro, pintor, eletricista, marceneiro","69342"
"Mecânico de veículos, máquinas industriais etc.","22343"
"Artesão, costureiro e sapateiro","20722"
"Cabeleireiro, manicure e afins","18814"
"Operador de máquinas, montador na indústria","21187"
"Auxiliar de produção, de carga e descarga","25778"
"Professor da educação infantil, ensino fundamental, médio ou superior","44010"
"Pedagogo, professor de idiomas, música, arte e reforço escolar","6241"
"Médico, enfermeiro, profissionais de saúde de nível superior","19969"
"Técnico, profissional da saúde de nível médio","19932"
"Cuidador de crianças, doentes ou idosos","3696"
"Segurança, vigilante, trabalhador dos serviços de proteção","17461"
"Policial civil","1475"
"Porteiro, zelador","7176"
"Artista, religioso (padre, pastor etc.)","2462"
"Diretor, gerente, cargo político ou comissionado","30918"
"Outra profissão de nível superior (advogado, engenheiro, contador, jornalista etc.)","50613"
"Outro técnico ou profissional de nível médio","37393"
"Outros","107102"
