"mes","faixa_etaria","qtd","percentual"
"05","0 a 12","56518","16.18"
"05","13 a 17","26186","7.5"
"05","18 a 59","207180","59.31"
"05","60+","59422","17.01"
"06","0 a 12","61807","16.21"
"06","13 a 17","28726","7.53"
"06","18 a 59","225411","59.12"
"06","60+","65326","17.13"
"07","0 a 12","62198","16.19"
"07","13 a 17","29151","7.59"
"07","18 a 59","226564","58.98"
"07","60+","66253","17.25"
"08","0 a 12","62616","16.2"
"08","13 a 17","29366","7.6"
"08","18 a 59","227432","58.84"
"08","60+","67106","17.36"
"09","0 a 12","62444","16.12"
"09","13 a 17","29484","7.61"
"09","18 a 59","227714","58.8"
"09","60+","67656","17.47"
"10","0 a 12","60919","16.01"
"10","13 a 17","28813","7.57"
"10","18 a 59","223636","58.78"
"10","60+","67093","17.63"
"11","0 a 12","60860","15.96"
"11","13 a 17","28828","7.56"
"11","18 a 59","224163","58.77"
"11","60+","67587","17.72"
