"mes","escolaridade","qtd","percentual"
"05","Fundamental Incompleto","115648","33.11"
"05","Médio Completo","79226","22.68"
"05","Sem Instrução","36785","10.53"
"05","Superior Completo","34081","9.76"
"05","Médio Incompleto","32889","9.42"
"05","Fundamental Completo","23682","6.78"
"05","Superior Incompleto","18346","5.25"
"05","Pós Graduação, Mestrado ou Doutorado","8649","2.48"
"06","Fundamental Incompleto","127656","33.48"
"06","Médio Completo","85768","22.5"
"06","Sem Instrução","40862","10.72"
"06","Superior Completo","36227","9.5"
"06","Médio Incompleto","35820","9.39"
"06","Fundamental Completo","25445","6.67"
"06","Superior Incompleto","19778","5.19"
"06","Pós Graduação, Mestrado ou Doutorado","9714","2.55"
"07","Fundamental Incompleto","129643","33.75"
"07","Médio Completo","85796","22.33"
"07","Sem Instrução","41240","10.73"
"07","Superior Completo","36101","9.4"
"07","Médio Incompleto","36006","9.37"
"07","Fundamental Completo","25495","6.64"
"07","Superior Incompleto","20007","5.21"
"07","Pós Graduação, Mestrado ou Doutorado","9878","2.57"
"08","Fundamental Incompleto","130652","33.8"
"08","Médio Completo","85978","22.24"
"08","Sem Instrução","41844","10.83"
"08","Médio Incompleto","36241","9.38"
"08","Superior Completo","36051","9.33"
"08","Fundamental Completo","25635","6.63"
"08","Superior Incompleto","20053","5.19"
"08","Pós Graduação, Mestrado ou Doutorado","10066","2.6"
"09","Fundamental Incompleto","130890","33.8"
"09","Médio Completo","86118","22.24"
"09","Sem Instrução","41948","10.83"
"09","Médio Incompleto","36291","9.37"
"09","Superior Completo","36172","9.34"
"09","Fundamental Completo","25595","6.61"
"09","Superior Incompleto","20119","5.19"
"09","Pós Graduação, Mestrado ou Doutorado","10165","2.62"
"10","Fundamental Incompleto","128579","33.8"
"10","Médio Completo","84785","22.28"
"10","Sem Instrução","40996","10.78"
"10","Médio Incompleto","35561","9.35"
"10","Superior Completo","35523","9.34"
"10","Fundamental Completo","25222","6.63"
"10","Superior Incompleto","19771","5.2"
"10","Pós Graduação, Mestrado ou Doutorado","10024","2.63"
"11","Fundamental Incompleto","128517","33.69"
"11","Médio Completo","85137","22.32"
"11","Sem Instrução","41091","10.77"
"11","Médio Incompleto","35783","9.38"
"11","Superior Completo","35746","9.37"
"11","Fundamental Completo","25275","6.63"
"11","Superior Incompleto","19788","5.19"
"11","Pós Graduação, Mestrado ou Doutorado","10101","2.65"
