"mes","contato","qtd","percentual"
"07","Só necessidade","172452","45.16"
"07","Reduziu contato","112593","29.48"
"07","Isolamento total","89634","23.47"
"07","Vida normal","7195","1.88"
"08","Só necessidade","166071","43.23"
"08","Reduziu contato","132171","34.41"
"08","Isolamento total","78149","20.34"
"08","Vida normal","7771","2.02"
"09","Só necessidade","161444","41.89"
"09","Reduziu contato","148874","38.63"
"09","Isolamento total","63863","16.57"
"09","Vida normal","11191","2.9"
"10","Reduziu contato","163684","43.22"
"10","Só necessidade","149778","39.54"
"10","Isolamento total","48157","12.71"
"10","Vida normal","17138","4.52"
"11","Reduziu contato","171955","45.24"
"11","Só necessidade","147728","38.86"
"11","Isolamento total","42573","11.2"
"11","Vida normal","17865","4.7"
